ID;Kérdés;A válasz;B válasz;C  válasz;D válasz;Helyes válasz
1;Mi volt a neve George Stephenson első mozdonyának?;George;Mylord;Rocket;Locomotive;valasz_b
2;"Melyik magyar várost nevezik a ""vizek városának""?";Siófok;Tata;Szeged;Debrecen;valasz_b
3;Hol használták régen az édesvízi piócák egyes fajait?;a növénynemesítéseknél;a harcászatban;a gyógyászatban;a szakácsművészetben;valasz_c
4;Hogyan győzte le Dávid Góliátot?;Szkanderben lenyomta;Dárdájával eltalálta;Elgáncsolta;Parittyával leterítette;valasz_d
5;"Melyik híres popsztár slágerei voltak a ""Bad"" illetve a ""Black Or White""?";Michael Jackson;Rod Stewart;George Michael;Elton John;valasz_a
6;Milyen színű lesz a lakmuszpapír sav hatására?;sárga;zöld;vörös;kék;valasz_c
7;Az autó melyik alkatrészét találta fel Bánki Donát és Csonka János?;a fékbetétet;a sebességváltót;a lengéscsillapítót;a porlasztót;valasz_d
8;Melyik országban található a Szent András-törésvonal?;Ausztrália;USA;Mexikó;Kanada;valasz_b
9;Hogyan tájékozódnak éjszaka a denevérek?;ultrahanggal;karmaikkal;szárnyaikkal;faroktollaikkal;valasz_a
10;Mire használják az ázsiai népek a dzsunkát?;rizspálinka főzésére;hajózásra;selyemszövésre;petárda készítésére;valasz_b
11;Melyik országnak van a legtöbb szomszédja?;Oroszország;Kína;Szudán;Brazília;valasz_a
12;Melyik madár tud hátrafelé is repülni?;gólya;sas;galamb;kolibri;valasz_d
13;Melyik testrészünk közelíti meg az első életév végére végleges nagyságát?;szemünk;kis lábujjunk;fogunk;ádámcsutkánk;valasz_a
14;Ki dolgozta ki a kvantumelméletet?;Werner Heisenberg;Erwin Schrödinger;Max Planck;Max Born;valasz_c
15;Kiről vagy miről kapta a nevét a trappista sajt?;szerzetesrendről;francia borászról;holland legelőről;tehénfajtáról;valasz_a
